update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,512,-9.509032,53.812805,0.692548,0.000594,0.0000
2,1024,-8.204822,42.122926,0.689809,0.000251,0.0000
3,1536,-9.148613,50.214813,0.687149,0.000271,0.0000
4,2048,-9.240250,49.967806,0.683111,0.000331,0.0000
5,2560,-9.130505,49.953860,0.678814,0.000123,0.0000
6,3072,-10.727009,64.214107,0.681041,0.000086,0.0000
7,3584,-9.520785,53.399208,0.676969,0.000186,0.0000
8,4096,-7.658697,39.593608,0.669768,0.000134,0.0000
9,4608,-4.728707,20.584606,0.670088,0.001253,0.0000
10,5120,-3.665200,19.801469,0.676697,0.001462,0.0010
11,5632,-3.506322,23.385825,0.675051,0.006630,0.0337
12,6144,-3.534676,25.104991,0.670576,0.010637,0.1714
13,6656,-3.110331,25.477735,0.667893,0.000819,0.0010
14,7168,-2.052874,28.311731,0.669296,0.002418,0.0063
15,7680,-2.867462,25.708406,0.644124,0.011350,0.1333
16,8192,-1.909533,30.232921,0.665918,0.000277,0.0000
17,8704,-3.382665,40.206177,0.676740,0.000812,0.0005
18,9216,0.081692,32.923648,0.653737,0.002452,0.0171
19,9728,-2.337809,30.916682,0.626984,0.011425,0.1001
20,10240,-0.542095,42.000714,0.646271,0.005439,0.0391
21,10752,-3.387038,33.665092,0.638827,0.004564,0.0254
22,11264,2.206552,36.895398,0.642786,0.014356,0.1733
23,11776,-4.840071,50.775819,0.655824,0.001125,0.0000
24,12288,-0.963313,36.282371,0.634152,0.006034,0.0518
25,12800,-1.409980,39.569069,0.637492,0.004870,0.0312
26,13312,-1.195236,40.337112,0.632657,0.007778,0.0864
27,13824,-4.778006,40.249956,0.638049,0.000757,0.0078
28,14336,-0.279762,40.667683,0.642628,0.002194,0.0078
29,14848,-2.610716,36.482209,0.613395,0.004344,0.0254
30,15360,-4.365420,42.706747,0.623653,0.002167,0.0161
31,15872,-2.295817,46.882430,0.631828,0.006713,0.0625
32,16384,-1.441835,43.002471,0.611987,0.003563,0.0122
33,16896,-4.734463,56.187081,0.629247,0.000382,0.0000
34,17408,-0.957541,40.491935,0.578148,0.007576,0.0601
35,17920,-3.367315,52.557497,0.622822,0.005098,0.0327
36,18432,-4.246384,51.282786,0.629378,0.002556,0.0220
37,18944,-1.082756,54.437809,0.630992,0.008340,0.0830
38,19456,-2.279123,51.253271,0.604585,0.011404,0.1055
39,19968,-1.987138,57.157443,0.625123,0.009327,0.1147
40,20480,-4.390227,50.813769,0.623523,0.005918,0.0366
41,20992,2.312312,55.511134,0.611292,0.002345,0.0161
42,21504,-5.867395,56.878461,0.617247,0.001402,0.0020
43,22016,-2.981572,59.129445,0.602292,0.002560,0.0098
44,22528,-5.012009,52.077781,0.631666,0.002427,0.0166
45,23040,-3.323414,57.080477,0.628315,0.002485,0.0122
46,23552,-3.646076,58.942599,0.623453,0.010255,0.1167
47,24064,-2.367098,56.521359,0.607276,0.011645,0.1636
48,24576,-0.963457,59.289213,0.613522,0.005805,0.0366
49,25088,-3.567396,54.945787,0.608408,0.001953,0.0161
50,25600,-4.541500,52.149444,0.624702,0.003935,0.0283
51,26112,-2.763282,54.562932,0.629083,0.000354,0.0000
52,26624,-6.196264,52.465377,0.627438,0.004635,0.0332
53,27136,3.518430,88.463640,0.593869,0.011679,0.1475
54,27648,-2.420163,60.189028,0.588528,0.013657,0.1279
55,28160,-4.672969,51.422862,0.610400,0.006608,0.0688
56,28672,-4.045357,48.354649,0.613330,0.001055,0.0073
57,29184,0.480852,69.245999,0.567929,0.009016,0.0688
58,29696,-4.311885,55.799388,0.619935,0.002522,0.0200
59,30208,-5.979165,41.118082,0.615613,0.002325,0.0220
60,30720,2.156878,81.489046,0.610471,0.004008,0.0244
61,31232,0.173391,70.505895,0.589802,0.007262,0.0557
62,31744,-7.932679,30.942693,0.617149,0.001746,0.0137
63,32256,-1.264630,69.353199,0.603935,0.005569,0.0479
64,32768,-3.885124,59.274174,0.615897,0.001189,0.0000
65,33280,-3.323322,53.108163,0.593652,0.004737,0.0557
66,33792,-3.333674,47.832167,0.610568,0.008111,0.0615
67,34304,-0.109528,57.259616,0.601804,0.007392,0.0811
68,34816,-3.311999,53.408364,0.589759,0.000632,0.0005
69,35328,-1.450381,62.129530,0.599278,0.005781,0.0566
70,35840,-0.666314,66.955124,0.590849,0.011564,0.1079
71,36352,-4.072024,32.794446,0.608313,0.001556,0.0093
72,36864,-1.398901,67.820697,0.626182,0.007369,0.0532
73,37376,2.158657,70.145358,0.572712,0.006917,0.0620
74,37888,-5.063332,32.977923,0.590085,0.000720,0.0020
75,38400,-1.893641,53.360916,0.591250,0.002007,0.0166
76,38912,1.262023,66.954393,0.576031,0.011843,0.1538
77,39424,-3.445256,42.681670,0.590699,0.004937,0.0298
78,39936,-0.431332,77.940066,0.584094,0.011342,0.1602
79,40448,0.336737,74.140232,0.573749,0.010696,0.1104
80,40960,-4.908969,37.551803,0.598894,0.004740,0.0308
81,41472,-2.017598,56.098611,0.599642,0.009677,0.0923
82,41984,4.300123,92.386338,0.564509,0.012555,0.1797
83,42496,-1.460809,54.933557,0.596579,0.002286,0.0156
84,43008,-2.828758,34.387037,0.580108,0.004076,0.0317
85,43520,-4.138922,28.662191,0.596787,0.003353,0.0298
86,44032,-4.050646,51.023838,0.623716,0.005314,0.0415
87,44544,-0.142329,65.686586,0.603284,0.003847,0.0278
88,45056,-1.840934,44.604620,0.580272,0.004347,0.0327
89,45568,-1.758327,43.568306,0.593124,0.004980,0.0562
90,46080,4.820356,105.926701,0.579480,0.014968,0.2134
91,46592,-0.128231,56.999710,0.575109,0.001573,0.0142
92,47104,-5.388687,24.171577,0.589809,0.002064,0.0195
93,47616,-5.347322,23.987782,0.595591,0.003335,0.0366
94,48128,-1.343971,45.997148,0.598563,0.005115,0.0454
95,48640,-4.923524,37.960720,0.623134,0.004495,0.0435
96,49152,6.473229,138.818409,0.604082,0.009761,0.1055
97,49664,0.330134,67.803252,0.570435,0.004041,0.0264
98,50176,-3.407299,55.033689,0.592138,0.000787,0.0034
99,50688,-1.787621,53.527589,0.578245,0.006442,0.0698
100,51200,-3.616943,19.737695,0.598103,0.000851,0.0059
101,51712,1.540273,77.065260,0.616143,0.002188,0.0249
102,52224,1.887074,88.083141,0.559389,0.009128,0.0820
103,52736,-1.476152,48.770630,0.587576,0.005908,0.0547
104,53248,0.408963,62.437397,0.576485,0.009364,0.1074
105,53760,2.126306,75.228931,0.543450,0.012530,0.1660
106,54272,-5.584527,22.925896,0.615668,0.002164,0.0112
107,54784,-6.096694,22.222187,0.605927,0.001702,0.0151
108,55296,0.034108,41.378753,0.576038,0.002600,0.0156
109,55808,6.288253,111.599871,0.591768,0.002526,0.0181
110,56320,-0.238572,39.586374,0.568868,0.006715,0.0420
111,56832,-0.988633,48.132746,0.570212,0.004850,0.0459
112,57344,-3.515547,15.015965,0.600717,0.003016,0.0244
113,57856,-1.883254,30.185530,0.579665,0.002848,0.0205
114,58368,5.358856,112.584822,0.580515,0.008160,0.0601
115,58880,-2.161458,29.653107,0.600598,0.005566,0.0635
116,59392,1.317829,64.903213,0.563068,0.009419,0.1348
117,59904,0.243315,48.080395,0.562650,0.000741,0.0015
118,60416,-2.657315,30.865465,0.589740,0.006448,0.0679
119,60928,-1.263569,17.346980,0.571702,0.002877,0.0327
120,61440,-2.173982,35.357233,0.595107,0.011574,0.1260
121,61952,-0.327491,28.204399,0.575403,0.003393,0.0312
122,62464,2.460336,63.682376,0.559654,0.015276,0.2314
123,62976,-3.688894,17.429044,0.572459,0.005749,0.0601
124,63488,-0.003913,71.344296,0.593990,0.001278,0.0093
125,64000,-0.992540,71.412896,0.539131,0.003016,0.0312
126,64512,3.957092,100.997082,0.550962,0.009038,0.0693
127,65024,-2.499536,39.644567,0.543686,0.003239,0.0244
128,65536,-5.185697,32.647701,0.587943,0.004412,0.0342
129,66048,-2.905448,29.391894,0.553344,0.004977,0.0425
130,66560,-1.471656,61.918188,0.564493,0.004156,0.0459
131,67072,-1.509371,42.958955,0.572563,0.005831,0.0508
132,67584,-2.362381,38.865152,0.569265,0.002698,0.0239
133,68096,-1.788674,60.321940,0.543073,0.006327,0.0659
134,68608,6.380892,124.452206,0.577242,0.009559,0.0703
135,69120,-3.531473,38.593445,0.564125,0.002510,0.0215
136,69632,-0.134369,54.099986,0.592735,0.001447,0.0151
137,70144,-1.265517,27.901893,0.583800,0.004179,0.0220
138,70656,-2.613274,36.305493,0.575119,0.004558,0.0293
